,Tesseract,Ground_Truth
16205,Appllcable,Applicable
16206,cm,CMA
16207,ts,its
16208,substltutlng,substituting
16209,EPAS,EPAs
16210,a,a
16211,I,I
16212,cm,CMA
16213,ntlated,initiated
16214,a,a
16215,EPAS,EPAs
16216,mg,ing
16217,VIII,VIII
16218,detemlnlng,determining
16219,m,will
16220,March,March
16221,cm,CMA
16222,addltlo,addition
16223,a,a
16224,dlstrk,distri
16225,a,a
16226,posslble,possible
16227,a,a
16228,t,t
16229,a,a
16230,Pollcy,Policy
16231,whlch,which
16232,Councll,Council
16233,publlshed,published
16234,publlc,public
16235,mm,with
16236,FpA,FpA
16237,I,I
16238,G,G
16239,J,J
16240,Norrls,Norris
16241,CIEArGBIGY,CIBAGBIGY
16242,testlfled,testified
16243,CHAEPA,CHAEPA
16244,EPAS,EPAs
16245,Verlflcatln,verification
16246,I,I
16247,DMRQA,DMRQA
16248,cm,CMA
16249,submlttal,submittal
16250,EPA,EPA
16251,Dlscharge,Discharge
16252,EPAS,EPAs
16253,flrst,first
16254,DMRDA,DMROA
16255,t,the
16256,mm,limits
16257,T,T
16258,Cunnlngham,Cunningham
16259,I,I
16260,c,f
16261,I,I
16262,I,I
16263,tlns,tions
16264,R,R
16265,Hlth,with
16266,ndstry,industry
16267,attemptlng,attempting
16268,a,a
16269,amendlng,amending
16270,cm,CMA
16271,EPAS,EPAs
16272,Plastlc,Plastic
16273,Synthetlc,Synthetic
16274,Industry,Industrys
16275,technlcal,technical
16276,EPAS,EPAs
16277,plannlng,planning
16278,cm,CMA
16279,Hlth,with
16280,plastlcs,plastics
16281,synthetlc,synthetic
16282,ndustry,industry
16283,s,is
16284,llmltatlons,limitations
16285,e,ie
16286,dlrty,dirty
16287,mm,with
16288,mm,with
16289,Emlsslons,Emissions
16290,concernlng,concerning
16291,Prellmlnry,Preliminary
16292,lllustrate,illustrate
16293,a,
16294,Emlsslon,Emission
16295,emlsslon,emission
16296,technlque,technique
16297,A,A
16298,entltled,entitled
16299,Analysls,Analysis
16300,Emlsslon,Emissions
16301,technlcal,technical
16302,a,a
16303,MD,MOx
16304,I,I
16305,CMAEPA,CMAEPA
16306,I,I
16307,Emlsslon,Emission
16308,NC,NC
16309,a,a
16310,n,in
16311,settlng,setting
16312,u,D
16313,BtJTIDN,IBtJTION
16314,I,I
16315,I,I
16316,t,t
16317,by,by
16318,Intrstate,Interstate
16319,Commlsslon,Commission
16320,determlnlng,determining
16321,a,a
16322,mm,railroad
16323,Marltlm,Maritime
16324,Marltlm,Maritime
16325,shlppers,shippers
16326,R,Rail
16327,proceedlngs,proceedings
16328,by,by
16329,m,ICC
16330,R,Rail
16331,by,by
16332,dlscusslng,discussing
16333,r,r
16334,DDTMTB,DOTMTB
16335,Dlstrlutlon,Distribution
16336,Dltrlbutlon,Distribution
16337,Commlttee,Committee
16338,a,a
16339,actlvltles,activities
16340,nvted,invited
16341,I,I
16342,mr,Similar
16343,blng,being
16344,by,by
16345,DDTMTB,DOTMTB
16346,cm,CMA
16347,exlstlng,existing
16348,cm,CMA
16349,Plannlng,Planning
16350,cm,CMA
16351,a,a
16352,dlstrlbute,distribute
16353,Strtegc,Strategic
16354,by,by
16355,flexlblllty,flexibility
16356,respondlng,responding
16357,Flnl,Final
16358,Exlstlng,Existing
16359,FueliBurnlng,FuelBurning
16360,Thy,They
16361,a,CMA
16362,a,
16363,cm,CMA
16364,Reportlng,Reporting
16365,recommendlng,recommending
16366,tehnlcal,technical
16367,reportlng,reporting
16368,cm,CMA
16369,cm,CMA
16370,a,a
16371,reportlng,reporting
16372,a,a
16373,I,I
16374,I,I
16375,preprlntlng,preprinting
16376,Electrlcal,Electrical
16377,Stndards,Standards
16378,cm,CMA
16379,commlttee,committee
16380,ndustrv,industrv
16381,cm,CMA
16382,m,to
16383,Technlcal,Technical
16384,WEALTH,WEALTH
16385,PMN,PMN
16386,B,B
16387,t,to
16388,CMAS,CMAs
16389,cm,CMA
16390,cm,CMA
16391,nfrmed,informed
16392,tellmted,sitelimited
16393,ndustry,industry
16394,I,I
16395,Assnclatlon,Association
16396,a,a
16397,clarlflcatlon,clarification
16398,quallfld,qualified
16399,cm,CMA
16400,modlflcatlons,modifications
16401,Assnclatlon,Association
16402,accordlng,according
16403,welght,weight
16404,PMN,PMN
16405,meetlngs,meetings
16406,Hlth,with
16407,dlstrlbutlng,distributing
16408,a,a
16409,chman,chairman
16410,speclflc,specific
16411,by,by
16412,by,by
16413,hearlng,hearing
16414,justlflcatlon,justification
16415,PMN,PMN
16416,PMN,PMN
16417,reportlng,reporting
16418,meetlng,meeting
16419,ndcai,indica
16420,cm,CMA
16421,mm,with
16422,ms,of
16423,CMA,CMA
16424,a,a
16425,reportlng,reporting
16426,thls,this
16427,ndvdual,individual
16428,cm,CMA
16429,ndvdual,individual
16430,Plannlng,Planning
16431,CR,CRAC
16432,m,to
16433,hlsher,hisher
16434,ndstry,industry
16435,m,will
16436,alysls,Analysis
16437,actlvltles,activities
16438,rlsk,risk
16439,n,on
16440,nght,Right
16441,Actlvltles,Activities
16442,nght,Right
16443,ngt,Right
16444,dlstrlbuted,distributed
16445,Counclls,Councils
16446,Rlsks,Risks
16447,Rlsks,Risks
16448,m,to
16449,llmlted,limited
16450,sclentlflc,scientific
16451,Hlthln,within
16452,whlch,which
16453,Emplyee,Employee
16454,PR,PR
16455,cm,CMA
16456,I,I
16457,ollcy,Policy
16458,submltted,submitted
16459,Hlth,with
16460,th,the
16461,Agencys,Agencys
16462,Analysls,Analysis
16463,reallstlc,realistic
16464,try,try
16465,EPAS,EPAs
16466,rlskcost,riskcost
16467,handlln,handling
16468,analysls,analysis
16469,remalnlng,remaining
16470,mg,ing
16471,analysls,analysis
16472,rlsk,risk
16473,mm,with
16474,a,a
16475,cm,CMA
16476,m,to
16477,analysls,analysis
16478,c,f
16479,mm,with
16480,mm,PDA
16481,raglllatlon,ragillation
16482,BET,BHT
16483,Hlth,with
16484,a,a
16485,ommlttee,Committee
16486,AddltlveS,Additives
16487,cm,CMA
16488,a,a
16489,a,a
16490,paradlchlorobenze,paradichlorobenze
16491,n,n
16492,e,e
16493,PDCB,PDCB
16494,rabblts,rabbits
16495,thls,this
16496,by,by
16497,Rslns,Resins
16498,I,I
16499,y,Resins
16500,collectlng,collecting
16501,mg,ing
16502,Hlth,with
16503,a,a
16504,a,a
16505,testlng,testing
16506,by,by
16507,testlng,testing
16508,a,a
16509,posslble,possible
16510,cytogentlc,cytogenetic
16511,Hlth,with
16512,m,with
16513,h,oral
16514,GroupDSHA,GroupOSHA
16515,m,EO
16516,Cltlzen,Citizen
16517,BIC,BIC
16518,reductln,reduction
16519,a,a
16520,fllght,flight
16521,entlsts,entists
16522,Fundlng,Funding
16523,by,by
16524,artlclpatlng,participating
16525,CMA,CMA
16526,II,II
16527,c,f
16528,T,T
16529,snrlng,snring
16530,mcmm,EGME
16531,EGEE,EGEE
16532,by,by
16533,Exlstlng,Existing
16534,flvestge,fivestage
16535,mm,with
16536,addltlo,additional
16537,submltted,submitted
16538,m,to
16539,submltted,submitted
16540,a,a
16541,submltted,submitted
16542,submltted,submitted
16543,r,r
16544,I,I
16545,Commlttees,Committees
16546,testlng,testing
16547,mesltyl,mesityl
16548,ddltlves,Additives
16549,P,Panel
16550,Testlng,Testing
16551,Commlttee,Committee
16552,t,t
16553,Commlsslon,Commission
16554,CPscy,CPSC
16555,technlcal,technical
16556,substltutes,substitutes
16557,P,PS
16558,objectlng,objecting
16559,m,to
16560,submltted,submitted
16561,technlcal,technical
16562,Hlth,with
16563,csc,CPSC
16564,toxlcologlsts,toxicologists
16565,m,to
16566,TRTGS,TRTGs
16567,genotoxlclty,genotoxicity
16568,testlng,testing
16569,CPscs,CPSCs
16570,a,a
16571,chlldrns,childrens
16572,mm,with
16573,I,I
16574,DHA,DEHA
16575,DEEP,DEHP
16576,submltted,submitted
16577,a,a
16578,testlng,testing
16579,PE,PE
16580,mm,with
16581,o,to
16582,descrlhe,descrihe
16583,Testlng,Testing
16584,Appllcatlons,Applications
16585,FDATG,FDATG
16586,FDA,FDA
16587,PCB,PCB
16588,Hlth,with
16589,nnquantlflable,nonquantifiable
16590,PCBS,PCBs
16591,EPAS,EPAs
16592,by,by
16593,Hlth,with
16594,Dlstrlct,District
16595,a,a
16596,thlrd,third
16597,a,a
16598,a,a
16599,addltlonal,additional
16600,PCB,PCB
16601,a,a
16602,Hlth,with
16603,pressln,pression
16604,llmlted,limited
16605,dld,did
16606,proceedlngs,proceedings
16607,alkyldlthlophosphates,Dialkyldlthiophosphates
16608,c,Zinc
16609,Dlalkyldlthlophosphates,Dialkyldithiophosphates
16610,III,III
16611,conslsts,consists
16612,Ln,i_n
16613,mutagenlclty,mutagenicity
16614,WILL,WILLIAM
16615,M,M
16616,TAXATION,TAXATION
16617,A,AND
16618,Washlngton,Washington
16619,by,by
16620,returnlng,returning
16621,th,the
16622,ms,his
16623,flrst,first
16624,thlrd,third
16625,ndvdual,individual
16626,Harnlngs,warnings
16627,a,a
16628,rlslng,rising
16629,ms,his
16630,brldges,bridges
16631,hlghways,highways
16632,Admlnlstratlon,Administration
16633,confrontlng,confronting
16634,pollcy,policy
16635,v,US
16636,Admlnlstratlon,Administration
16637,m,to
16638,mrscy,DISC
16639,by,by
16640,th,the
16641,Admlnlstratlons,Administrations
16642,Thanksglvlng,Thanksgiving
16643,m,to
16644,mr,similar
16645,thls,this
16646,thls,this
16647,Washlngton,Washington
16648,a,a
16649,cntlnued,continued
16650,cm,CMA
16651,allled,allied
16652,Commlttee,Committee
16653,exlstlng,existing
16654,by,by
16655,calllng,calling
16656,Hlth,with
16657,cltlzen,citizen
16658,a,a
16659,a,a
16660,Commlttee,Committee
16661,a,a
16662,prl,price
16663,a,a
16664,a,a
16665,hlghway,highway
16666,Commlttee,Committee
16667,jurlsdlctlonal,jurisdictional
16668,endlng,pending
16669,Commlttee,Committee
16670,a,a
16671,a,a
16672,Synthetlc,Synthetic
16673,Subcommlttee,Subcommittee
16674,m,to
16675,extendlng,extending
16676,exlstlng,existing
16677,regardlng,regarding
16678,mm,with
16679,t,the
16680,by,by
16681,Admlnlstratlon,Administration
16682,fflclals,officials
16683,thls,this
16684,a,a
16685,convlnced,convinced
16686,by,by
16687,a,a
16688,mposslble,impossible
16689,by,by
16690,Commlttee,Committee
16691,by,by
16692,Admlnlstratlon,Administration
16693,PSD,PSD
16694,damaglng,damaging
16695,Commlttee,Committee
16696,mprovements,improvements
16697,Commlttees,Committees
16698,by,by
16699,a,a
16700,HouSE,House
16701,t,the
16702,e,industry
16703,x,HR
16704,pendlng,pending
16705,Commlttee,Committee
16706,a,a
16707,mlght,might
16708,Broyhlll,Broyhill
16709,a,a
16710,Commlttee,Committee
16711,contalnlng,containing
16712,PSD,PSD
16713,Bllly,Billy
16714,DiLA,DLA
16715,llstlngdellstlng,listingdelisting
16716,H,HR
16717,I,I
16718,I,I
16719,By,By
16720,md,mid
16721,n,the
16722,attalnlng,attaining
16723,wlthholdlng,withholding
16724,c,f
16725,thls,this
16726,a,a
16727,t,t
16728,I,I
16729,I,I
16730,E,NPDES
16731,permlts,permits
16732,Hlth,with
16733,a,a
16734,clause,clause
16735,nd,and
16736,a,a
16737,modlflcatlons,modifications
16738,whlch,which
16739,a,a
16740,dld,did
16741,t,is
16742,a,the
16743,by,by
16744,SubcommlttEE,Subcommittee
16745,a,a
16746,Hll,will
16747,try,try
16748,by,by
16749,Commlttees,Committees
16750,cm,for
16751,BAT,BAT
16752,a,contacts
16753,d,and
16754,efforts,efforts
16755,I,I
16756,I,I
16757,I,I
16758,I,I
16759,I,I
16760,I,I
16761,c,f
16762,I,I
16763,ndustys,industrys
16764,whlch,which
16765,s,is
16766,ndustrys,industrys
16767,by,by
16768,a,a
16769,m,to
16770,x,HR
16771,RC,RCRA
16772,a,a
16773,substltute,substitute
16774,whlch,which
16775,ml,bill
16776,orlglnally,originally
16777,by,by
16778,Commlttee,Committee
16779,modlflcatlons,modifications
16780,by,by
16781,oi,of
16782,ntlally,initially
16783,mm,with
16784,by,by
16785,by,by
16786,M,Mr
16787,uHm,RNJ
16788,by,by
16789,RiCAL,RCAL
16790,ellglblllty,eligibility
16791,By,By
16792,by,by
16793,DT,DTX
16794,Quantlty,Quantity
16795,by,by
16796,RiCAL,RCAL
16797,whlch,which
16798,m,to
16799,Subcommlttee,Subcommittee
16800,whlch,which
16801,a,a
16802,a,a
16803,thls,this
16804,contrVerslal,controversial
16805,landflll,landfill
16806,Commlttee,Committee
16807,attemptlng,attempting
16808,a,a
16809,consnsus,consensus
16810,a,a
16811,try,try
16812,a,a
16813,mm,bill
16814,llttle,little
16815,poslblllty,possibility
16816,exlsts,exists
16817,x,HR
16818,w,will
16819,whlch,which
16820,thls,this
16821,t,to
16822,by,by
16823,a,a
16824,substltute,substitute
16825,whlch,which
16826,by,by
16827,M,M
16828,Klndness,Kindness
16829,t,t
16830,I,I
16831,m,m
16832,Commlttee,Committee
16833,grantlng,granting
16834,a,a
16835,I,j
16836,I,j
16837,m,IN
16838,a,a
16839,by,by
16840,Commlttee,Committee
16841,brlng,bring
16842,thls,this
16843,a,a
16844,twoithlrds,twothirds
16845,by,by
16846,mm,bill
16847,I,j
16848,I,j
16849,I,I
16850,m,to
16851,a,a
16852,a,a
16853,flllbuster,filibuster
16854,by,by
16855,M,M
16856,Wllllam,William
16857,ndcated,indicated
16858,a,an
16859,J,J
16860,brlng,bring
16861,a,be
16862,a,a
16863,by,by
16864,shlppercarrler,shippercarrier
16865,Admlnlstratlon,Administration
16866,Addltlonal,Additional
16867,technlcal,technical
16868,substltute,substitute
16869,Clarlfylng,Clarifying
16870,Hlth,with
16871,Commlttees,Committees
16872,m,m
16873,I,I
16874,I,I
16875,t,that
16876,a,maritime
16877,llttle,little
16878,a,a
16879,draftlng,drafting
16880,prln,principles
16881,shlppers,shippers
16882,ntlally,initially
16883,a,a
16884,Hlth,with
16885,Admlnlstratlon,Administration
16886,TRADE,TRADE
16887,a,a
16888,grwlng,growing
16889,v,US
16890,pollcy,policy
16891,Mlnlsterlal,Ministerial
16892,metlng,meeting
16893,a,a
16894,thls,this
16895,Commlttee,Committee
16896,SubcommlttEE,Subcommittee
16897,e,The
16898,ntllectual,intellectual
16899,rlghts,rights
16900,restrlctlons,restrictions
16901,mm,bill
16902,merlts,merits
16903,Commlttee,Committee
16904,b,bill
16905,a,a
16906,mm,bill
16907,by,by
16908,a,a
16909,b,bill
16910,x,HR
16911,Commlttee,Committee
16912,dld,did
16913,hearlngs,hearings
16914,a,a
16915,thls,this
16916,effrt,effort
16917,cm,CMA
16918,a,a
16919,b,bill
16920,H,HR
16921,Presldnts,Presidents
16922,tarlffs,tariffs
16923,thls,this
16924,thls,this
16925,establlshed,established
16926,a,a
16927,Hlth,with
16928,by,by
16929,resolvlng,resolving
16930,thls,this
16931,establlshed,established
16932,m,to
16933,by,by
16934,membershlp,membership
16935,Commlttee,Committee
16936,TRADE,TRADE
16937,REPDT,REPORT
16938,F,OF
16939,PoLICy,POLICY
16940,Admlnlstratlon,Administration
16941,a,a
16942,a,a
16943,whlch,which
16944,restrlcted,restricted
16945,a,a
16946,notlflcatlon,notification
16947,exlstlng,existing
16948,A,A
16949,Baldrldge,Baldridge
16950,by,by
16951,a,a
16952,ommlttee,Committee
16953,by,by
16954,Hlth,with
16955,a,a
16956,responslble,responsible
16957,Subsequently,Subsequently
16958,a,a
16959,publlshed,published
16960,TRADE,TRADE
16961,USMEXICAN,USMEXICAN
16962,ETRDCHEMICAL,PETROCHEMICAL
16963,a,a
16964,exlstlng,existing
16965,a,a
16966,Portlllo,Portillo
16967,a,a
16968,Commlsslon,Commission
16969,JCCT,JCCT
16970,I,I
16971,k,k
16972,nlstratlon,is
16973,functlonlng,functioning
16974,whlch,which
16975,by,by
16976,Commlttee,Committee
16977,th,with
16978,offlclal,official
16979,a,a
16980,subsldlzatlon,subsidization
16981,appllcatlon,application
16982,v,US
16983,countervalllng,countervailing
16984,learnlng,learning
16985,cm,CMA
16986,Represntatlves,Representatives
16987,a,a
16988,Hlthln,within
16989,Hlth,with
16990,thls,this
16991,wlthdrew,withdrew
16992,m,to
16993,subsldlzatlon,the
16994,wrltten,written
16995,a,ON
16996,PMN,PMN
16997,m,IN
16998,DTAS,OTAs
16999,quantlty,quantity
17000,e,is
17001,thls,this
17002,dlng,on
17003,mlght,be
17004,by,Mr
17005,a,a
17006,testlng,testing
17007,slmllar,similar
17008,Mlnlmum,Minimum
17009,Prellmlnary,Preliminary
17010,admlnlstratln,administration
17011,PMN,PMN
17012,TSCA,TSCA
17013,F,OF
17014,UNDERWAI,UNDERWAY
17015,PMN,PMN
17016,thls,this
17017,by,by
17018,Accountlng,Accounting
17019,GAD,GAO
17020,EPAS,EPAs
17021,rlsk,risk
17022,v,US
17023,tetlng,testing
17024,TSCA,TSCA
17025,N,ON
17026,Commlttee,Committee
17027,EPAS,EPAs
17028,TSCA,TSCA
17029,EPAS,EPAs
17030,testlng,testing
17031,I,I
17032,REAUTHDIZATIDNDVERSIGHT,REAUTHORIZATIONOVERSIGHT
17033,m,IN
17034,antlclpates,anticipates
17035,a,a
17036,EPAS,EPAs
17037,hearlngs,hearings
17038,Subcommlttee,Subcommittee
17039,chalmanshlps,chairmanships
17040,jurlsdlctlons,jurisdictions
17041,m,to
17042,Subcommlttee,Subcommittee
17043,Hlth,with
17044,responslblllty,responsibility
17045,dependlng,depending
17046,mm,with
17047,Subcommlttee,Subcommittee
17048,RCRA,RCRA
17049,Wrks,Works
17050,Commlttee,Committee
17051,hVe,have
17052,thls,this
17053,Commlttee,Committee
17054,mmmm,RMINN
17055,Suncommlttee,Subcommittee
17056,mm,with
17057,jurlsdlctlon,jurisdiction
17058,by,by
17059,Subcommlttee,Subcommittee
17060,jurlsdlctlons,jurisdictions
17061,hearlngs,hearings
17062,by,by
17063,REFORM,REFORM
17064,I,I
17065,A,A
17066,deflnltlons,definitions
17067,rulemaklng,rulemaking
17068,plalnts,plaints
17069,Commlttee,Committee
17070,a,and
17071,encouraglng,encouraging
17072,I,I
17073,AFFAIS,AFFAIRS
17074,ctlvlty,Activity
17075,actlvlty,activity
17076,sslons,sessions
17077,unflnlshed,unfinished
17078,addltlon,addition
17079,beglnnlng,beginning
17080,flrst,first
17081,Aprll,April
17082,shlfts,shifts
17083,dld,did
17084,addltlon,addition
17085,m,to
17086,governorshlps,governorships
17087,nw,now
17088,governorshlp,governorship
17089,Pennsylvanla,Pennsylvania
17090,Washlngton,Washington
17091,Pennsylvanla,Pennsylvania
17092,follwlng,following
17093,Mlchlgan,Michigan
17094,Wlsconsln,Wisconsin
17095,N,N
17096,w,w
17097,Hampshlre,Hampshire
17098,Commlttee,Committee
17099,Actlvlty,Activity
17100,by,by
17101,actlvltles,activities
17102,dlstlnct,distinct
17103,quallty,quality
17104,addltlon,addition
17105,lobbylst,lobbyist
17106,ndustrys,industrys
17107,bty,ability
17108,m,to
17109,actlvltles,activities
17110,speclflc,specific
17111,partlclpants,participants
17112,utlllzed,utilized
17113,dlstrlbuted,distributed
17114,addltlo,addition
17115,a,a
17116,whlch,is
17117,dentlfy,identify
17118,lobbylng,lobbying
17119,utlllzed,utilized
17120,actlvltles,activities
17121,tracklng,tracking
17122,by,by
17123,rlght,right
17124,rlght,right
17125,rlght,right
17126,flrst,first
17127,rlght,right
17128,th,the
17129,country,country
17130,hearlngs,hearings
17131,hearlngs,hearings
17132,by,by
17133,mghly,highly
17134,actlvltles,activities
17135,envlronmentalcltlzen,environmentalcitizen
17136,m,to
17137,a,a
17138,orlglnally,originally
17139,commlttee,committee
17140,mlght,might
17141,ntrm,interim
17142,worklng,working
17143,jolntly,jointly
17144,ndustrys,industrys
17145,w,we
17146,rlght,right
17147,Illlnols,Illinois
17148,Commlttee,Committee
17149,Actlvltles,Activities
17150,th,the
17151,nght,Right
17152,dlstrk,distri
17153,m,to
17154,ky,key
17155,rlght,right
17156,analysls,analysis
17157,thls,this
17158,m,to
17159,a,a
17160,compensatlonllablllty,compensationliability
17161,strlct,strict
17162,flrst,first
17163,by,by
17164,by,by
17165,mg,ing
17166,a,a
17167,mechnlsm,mechanism
17168,technlcal,technical
17169,actlvlty,activity
17170,a,a
17171,dlssatlsfled,dissatisfied
17172,Hlth,with
17173,Admlnlstratlons,Administrations
17174,mm,bill
17175,by,by
17176,flnanclng,financing
17177,sltln,siting
17178,landfllllng,landfilling
17179,a,a
17180,orlglnally,originally
17181,by,by
17182,A,A
17183,Commlttee,Committee
17184,s,is
17185,a,a
17186,prellmlnary,preliminary
17187,mm,with
17188,actlvlty,activity
17189,by,by
17190,a,a
17191,c,off
17192,Admlnlstratlon,Administration
17193,worklng,working
17194,mm,with
17195,ndustrys,industrys
17196,partlclpated,participated
17197,a,a
17198,by,by
17199,transporttlon,transportation
17200,Pennsylva,Pennsylvania
17201,ms,HB
17202,commlttee,committee
17203,e,is
17204,mm,with
17205,a,a
17206,antlclpate,anticipate
17207,a,a
17208,thls,this
17209,worklng,working
17210,Dlstrlbutlon,Distribution
17211,Commlttee,Committee
17212,dlstrlbutlon,distribution
17213,requlrlng,requiring
17214,prenotlflcatlon,prenotification
17215,shlpment,shipments
17216,ellmlnated,eliminated
17217,ummmn,DIRECTOR
17218,F,OF
17219,a,a
17220,deflnllve,definitive
17221,cm,CMA
17222,wnrklng,working
17223,mm,with
17224,Commlttee,Committee
17225,a,a
17226,prgram,program
17227,dlstrlcts,districts
17228,dentlfy,identify
17229,thls,this
17230,publlcs,publics
17231,depths,depths
17232,A,A
17233,Willlam,William
17234,G,G
17235,brleflng,briefing
17236,a,a
17237,th,the
17238,M,Mr
17239,productlvlty,productivity
17240,mg,ing
17241,ndstrys,industrys
17242,dlfflcultles,difficulties
17243,mm,with
17244,Advrtlslng,Advertising
17245,Hlth,with
17246,Governmnt,Government
17247,J,J
17248,programmlng,programming
17249,by,by
17250,advertlslng,advertising
17251,a,a
17252,m,to
17253,J,J
17254,I,j
17255,m,to
17256,mm,with
17257,prlnt,print
17258,m,will
17259,artlcles,articles
17260,Hlth,with
17261,A,A
17262,a,a
17263,cm,CMA
17264,publlsh,publish
17265,a,a
17266,educatrs,educators
17267,J,j
17268,cltlcal,critical
17269,n,the
17270,Clty,City
17271,TV,TV
17272,by,by
17273,Hlth,with
17274,Flrsn,First
17275,d,and
17276,respctlvely,respectively
17277,c,f
17278,months,months
17279,a,issue
17280,posltlve,positive
17281,whlch,which
17282,lelngston,Livingston
17283,a,a
17284,by,by
17285,c,f
17286,A,CMA
17287,cm,CMA
17288,mm,BOARD
17289,Sprlngs,Springs
17290,G,G
17291,Nlckecontalnlngcatalysts,NickelcontainingCatalysts
17292,oleylmne,Oleylamine
17293,g,Task
17294,G,G
17295,Slngley,Singley
17296,R,R
17297,J,J
17298,M,M
17299,a,C
17300,pm,pm
17301,nlnetyielghth,ninetyeighth
17302,Cunnlngham,Cunningham
17303,R,R
17304,F,F
17305,Ludlngton,Ludington
17306,Rellly,Reilly
17307,L,L
17308,M,M
17309,F,F
17310,G,G
17311,F,F
17312,By,By
17313,_,T
17314,E,E
17315,L,L
17316,cm,CMA
17317,R,R
17318,M,M
17319,cm,CMA
17320,by,by
17321,TREASURRS,TREASURERS
17322,dlstlbuted,distributed
17323,by,by
17324,Pendlng,Pending
17325,ndcat,indicate
17326,a,a
17327,Commlttees,Committees
17328,by,by
17329,G,G
17330,Commlttee,Committee
17331,mm,SPAC
17332,Commlttee,Committee
17333,mm,with
17334,cm,CMA
17335,Technlcal,Technical
17336,Admlnlstratlom,Administration
17337,commlttee,committee
17338,mmsnmm,PRESIDENT
17339,a,e
17340,a,a
17341,ndcated,indicated
17342,recelvlng,receiving
17343,actlvlt,activities
17344,antlclpated,anticipated
17345,nlckelcontalnlng,nickelcontaining
17346,catalysts,catalysts
17347,N,ON
17348,MDTIIN,MOTION
17349,VOTED,VOTED
17350,o,To
17351,eresmls,eresols
17352,nlckelicontalnlng,nickelcontaining
17353,catalysts,catalysts
17354,swmzm,SUPERFUND
17355,Exhlblt,Exhibit
17356,B,B
17357,hlghllghted,highlighted
17358,a,e
17359,by,by
17360,cm,CMA
17361,testlfld,testified
17362,e,e
17363,a,e
17364,e,e
17365,commlttees,committees
17366,Hlth,with
17367,jurlsdlctlon,jurisdiction
17368,mm,bill
17369,e,e
17370,ntlate,initiate
17371,Hlth,with
17372,Commlttee,Committee
17373,crltlcal,critical
17374,ndustry,industry
17375,crltlcal,critical
17376,addltlonal,additional
17377,emphaslzlng,emphasizing
17378,thls,this
17379,prtcularly,particularly
17380,wm,Whites
17381,Exhlblt,Exhibit
17382,e,e
17383,whlch,which
17384,addltlonal,additional
17385,e,e
17386,e,e
17387,Commlttees,Committees
17388,e,e
17389,by,by
17390,N,ON
17391,VOTED,VOTED
17392,fundlng,funding
17393,by,by
17394,actlvltles,activities
17395,a,e
17396,b,be
17397,nd,fund
17398,e,e
17399,llmlted,limited
17400,m,to
17401,mllllon,million
17402,e,e
17403,a,a
17404,prlnclpal,principal
17405,flrst,first
17406,m,to
17407,submltted,submitted
17408,by,by
17409,Allled,Allied
17410,addltlonal,additional
17411,appllcablllty,applicability
17412,appllcable,applicable
17413,thls,this
17414,ECDNDMI,ECONOMIC
17415,ndvdual,individual
17416,dlstrlcts,districts
17417,lobbylng,lobbying
17418,ommsnmu,COMPENSATION
17419,nlngs,report
17420,E,E
17421,Brownlngs,Brownings
17422,Commlttee,Committees
17423,Hlth,with
17424,provlslnns,provisions
17425,mm,bill
17426,a,a
17427,d,proposal
17428,a,federal
17429,whlch,is
17430,Commlttee,Committee
17431,a,e
17432,m,to
17433,e,e
17434,analysls,analysis
17435,Hlth,with
17436,potentl,potential
17437,a,a
17438,e,e
17439,a,a
17440,a,a
17441,Septembr,September
17442,N,ON
17443,MDTIN,MOTION
17444,VOTED,VOTED
17445,speclflc,specific
17446,SITEs,SITES
17447,a,a
17448,m,to
17449,Commlttee,Committee
17450,ndcated,indicated
17451,accompllsh,accomplish
17452,a,a
17453,worklng,working
17454,m,to
17455,accompllsh,accomplish
17456,mmsnmms,PRESIDENTS
17457,Exhlblt,Exhibit
17458,F,F
17459,compenstlon,compensation
17460,Exhlblt,Exhibit
17461,G,G
17462,a,a
17463,sollclted,solicited
17464,Exhllt,Exhibit
17465,H,w
17466,A,A
17467,N,ON
17468,a,a
17469,Accordlngly,Accordingly
17470,Dlvlslon,Division
17471,a,a
17472,ntlatlon,initiation
17473,Prgram,Program
17474,mm,with
17475,a,a
17476,sufflclent,sufficient
17477,testlng,testing
17478,testlng,testing
17479,Hlth,with
17480,a,a
17481,testlng,testing
17482,Recommndatlon,Recommendation
17483,SPACS,SPACs
17484,thls,this
17485,actlvlles,activities
17486,partlclpatlng,participating
17487,cm,CMA
17488,Hlth,with
17489,transprtatlon,transportation
17490,actlvltles,activities
17491,partlclpatlng,participating
17492,Hlth,with
17493,nonipartlclpatlng,nonparticipating
17494,I,j
17495,CMAS,CMAs
17496,s,f
17497,J,Jim
17498,Dlvlslon,Division
17499,Washlnton,Washington
17500,Wllklnson,Wilkinson
17501,Dlvlslon,Division
17502,Electrlc,Electric
17503,Ny,NY
17504,Plttsbrgh,Pittsburgh
17505,B,Bill
17506,E,East
17507,Merlchm,Merichem
17508,F,F
17509,Chrles,Charles
17510,A,A
17511,III,III
17512,NW,NW
17513,Washlnton,Washington
17514,ccordlngly,Accordingly
17515,a,a
17516,A,A
17517,SPACS,SPACs
17518,thls,this
17519,Partllpatlng,Participating
17520,partlclpatlng,participating
17521,cm,CMA
17522,nlckelicontalnlng,nickelcontaining
17523,catalysts,catalysts
17524,actlvltles,activities
17525,responslble,responsible
17526,admlnlstratlve,administrative
